,hospital_name,payer_name,plan_name,code_type,raw_code,description,setting,standard_charge_methodology,additional_payer_notes,standard_charge_gross,standard_charge_discounted_cash,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,standard_charge_min,standard_charge_max,Notes
0,NYU Langone,bcbs,bcbsoutofstateepo(nosuitcaselogo)2068,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,2857.5,1857.375,180.22,,146.49,1733.49,
1,NYU Langone,cigna,cignappo1047,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,385.0,250.25,235.96,,64.75,366.24,
2,NYU Langone,medicare,wtchealthprogram-mt.sinai1484,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,421.18,,71.81,421.18,
3,NYU Langone,bcbs,bluecrossblueshieldpriorityepo(smallgroup)3748,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,51350.81,,4296.35,57084.61,
4,NYU Langone,uhc,unitedhealthcareepo1155,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,3206.34,,165.4,3206.34,
5,NYU Langone,somos,hipmcdenhanced-chp(somos) 3827,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,,,3213.0,,3213.0,3213.0,
6,NYU Langone,medicare,vnsmedicareadvspecialneeds(hbonly)1384,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,6602.0,,5954.0,14836.0,
7,NYU Langone,uhc,unitedhealthcareppo1160,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/50/25% all add ons apply, and lesser of 100% of billed charges",385.0,250.25,146.25,,64.75,366.24,
8,NYU Langone,metroplus,metroplussilverplusplanexchange1626,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,198 Percent of Medicare OPPS. Metroplus will reimburse unlisted codes and described codes with no Medicare rate at 50 percent of charges.,,,1037.65,,141.77,1815.1,
9,NYU Langone,healthplus,bcbspathwayxenhanced3360,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,326.61,,71.81,421.18,
10,NYU Langone,bcbs,bcbsout/statepos1211,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,13570.0,,13570.0,14927.0,
11,NYU Langone,medicare,unitedhealthcarecommunitymedicare1370,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,538.28,,516.585,2384.165,
12,NYU Langone,ghi,ghiemblemhealthmedicareppo1074,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,385.0,250.25,66.0,,64.75,366.24,
13,NYU Langone,healthfirst,healthfirstessentialplan11782,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,225% of NYS APG. Lesser of 100% of billed charges applies.,,,66.0,,66.0,66.0,
14,NYU Langone,bcbs,unicare1305,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,24034.78,,24034.78,79673.06,
15,NYU Langone,hip,emblemhealthcarepartnersessential43015,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". Primary procedure pays at 100%, secondary at 50%, all subsequent at 25%.  Lesser of applies when negotiated rates exceed charges less addons.",385.0,250.25,95.75,,64.75,366.24,
16,NYU Langone,magnacare,employeessecurityfund2058,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. All diagnostic and evaluation services except MRI and CT Scans will be paid as add-ons. Lesser of 100% of billed charges applies.,2857.5,1857.375,156.64,,146.49,1733.49,
17,NYU Langone,aetna,aetnahmo1005,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". Primary procedure pays at 100%, secondary at 50%, all subsequent at 25%.  Lesser of applies when negotiated rates exceed charges less addons.",,,57020.41,,4296.35,57084.61,
18,NYU Langone,hip,hipsmartstart1267,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,2857.5,1857.375,161.66,,146.49,1733.49,
19,NYU Langone,medicare,wtchealthprogram-northwell1485,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,385.0,250.25,211.16,,64.75,366.24,
20,NYU Langone,cigna,cignalifesource(hbonly)1678,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",,,53002.77,,4296.35,57084.61,
21,NYU Langone,bcbs,horizonnjdirect1290,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,2857.5,1857.375,153.09,,146.49,1733.49,
22,NYU Langone,ghi,ghiemblemhealthmedicareppo1074,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,385.0,250.25,79.74,,64.75,366.24,
23,NYU Langone,hip,hiphmo(cohort2hcp)3371,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,762.7550000000001,,516.585,2384.165,
